HBA,HBD,TPSA,dipole,excitation_energy_1,excitation_energy_2,excitation_energy_3,excitation_energy_4,homo_energy,homo_lumo_gap,logP,lumo_energy,melting_point,molecular_refractivity,oscillator_strength_1,oscillator_strength_2,oscillator_strength_3,oscillator_strength_4,pccdb_id,smiles
4,0,66.43,13.92,3.749,3.989,4.144,4.333,-4.528,4.512,-1.236,-0.016,90.67,48.87,0.0006,0.0042,0.0142,0.002,1,[O]C(=O)C[C@@H](C[N](C)(C)C)OC(=O)C
4,3,77.76,4.4,3.854,4.276,4.356,5.105,-6.729,4.528,-0.711,-2.201,132.75,36.8,0.0299,0.0188,0.193,0.0162,3,O[C@H]1C=CC=C([C@@H]1O)C(=O)O
2,2,46.25,2.47,5.596,6.262,6.46,6.642,-6.188,8.036,0.026,1.848,48.3,20.4,0.0039,0.0227,0.0011,0.0442,4,C[C@@H](CN)O
6,3,119.66,3.46,4.245,5.121,5.732,5.876,-7.029,5.567,-0.676,-1.461,130.8,31.51,0.0001,0.0001,0.0018,0.0098,5,NCC(=O)COP(=O)(O)O
5,1,69.62,2.48,4.949,4.986,5.215,5.433,-5.842,5.442,1.01,-0.4,146.83,45.8,0.1801,0.0314,0.0366,0.0102,7,CCn1cnc2c1[N]C=N[C]2N
4,3,77.76,4.79,5.491,6.234,6.82,6.935,-6.974,7.285,-0.407,0.31,98.85,35.09,0.0006,0.0037,0.0154,0.0119,8,CC[C@@]([C@@H](C(=O)O)O)(O)C
4,4,80.92,3.64,4.233,4.569,4.77,4.87,-5.11,5.614,0.509,0.503,166.21,34.53,0.0017,0.0,0.0531,0.0004,12,Oc1cc(O)c(c(c1)O)O
5,2,86.96,3.78,3.738,3.977,4.289,4.808,-7.168,4.542,-0.639,-2.626,177.32,43.73,0.0065,0.0231,0.0393,0.0066,17,OC(=O)[C@@H]1CC=CC(=N1)C(=O)O
4,3,77.76,5.44,3.953,4.968,5.041,5.068,-5.989,4.509,0.796,-1.48,176.59,37.45,0.0772,0.0,0.0024,0.0814,19,OC(=O)c1cccc(c1O)O
4,2,74.6,2.68,4.622,4.973,5.953,6.461,-7.353,5.921,-0.199,-1.431,101.63,34.13,0.0019,0.0177,0.0063,0.0162,21,CC[C@](C(=O)O)(C(=O)C)O
4,2,74.6,2.67,4.617,4.975,5.975,6.499,-7.374,5.91,-0.589,-1.464,102.29,29.32,0.0028,0.0162,0.0065,0.0108,22,CC(=O)[C@@](C(=O)O)(O)C
5,3,100.62,5.12,3.614,4.058,4.526,4.913,-5.736,3.649,0.255,-2.087,205.0,36.26,0.5521,0.0,0.0001,0.0177,28,OC(=O)/C=C/C=C(\C(=O)O)/N
4,2,80.39,2.85,4.123,4.783,5.172,5.681,-7.295,5.459,-0.703,-1.837,138.56,21.21,0.0042,0.0043,0.0194,0.0002,29,O=C[C@@H](C(=O)O)N
4,2,80.39,4.5,3.193,3.763,4.657,4.826,-6.182,3.731,0.369,-2.452,159.57,34.69,0.0006,0.6143,0.0009,0.1729,30,O=C/C=C/C=C(\C(=O)O)/N
7,5,137.26,7.99,6.573,6.793,6.853,6.884,-7.423,8.294,-1.8,0.871,120.71,41.74,0.0062,0.0036,0.0184,0.003,31,OC[C@]([C@@H](COP(=O)(O)O)O)(O)C
5,3,94.83,4.72,5.593,5.889,6.094,6.284,-7.717,6.898,-0.211,-0.819,145.71,40.47,0.0033,0.0011,0.0071,0.0027,36,CC([C@@H]([C@@H](C(=O)O)O)C(=O)O)C
4,2,74.6,1.9,3.688,4.422,5.325,5.798,-7.127,5.241,-0.341,-1.886,109.29,33.83,0.0003,0.0078,0.0022,0.0017,38,OCC(C(=O)C(=O)O)(C)C
3,0,43.37,5.44,3.026,4.661,5.471,6.135,-6.934,4.599,0.139,-2.335,48.53,30.07,0.0002,0.0,0.0591,0.0024,39,O=C1C(=O)OCC1(C)C
5,4,90.15,4.65,5.871,6.279,6.418,6.545,-6.743,7.793,-2.192,1.05,61.54,34.57,0.0056,0.0012,0.0132,0.0044,40,OC[C@H]1O[C@H](O)C[C@H]([C@H]1O)O
6,3,111.9,10.85,3.227,3.499,4.088,4.106,-6.705,3.646,0.503,-3.059,181.44,49.74,0.0063,0.0032,0.7239,0.0027,42,O=C(CCC(=O)O)/C=C/C=C(\C(=O)O)/O
5,3,94.83,4.22,5.393,5.736,5.834,6.001,-6.996,6.384,-0.703,-0.612,147.04,30.85,0.0025,0.0045,0.0006,0.0006,43,OC(=O)CC[C@@H](C(=O)O)O
5,3,94.83,2.14,5.694,5.883,6.69,6.972,-8.289,7.282,-1.484,-1.007,148.36,21.24,0.0032,0.0029,0.0019,0.0407,45,OC(C(=O)O)C(=O)O
3,1,54.37,1.17,3.181,5.026,5.716,6.018,-6.955,4.816,0.686,-2.139,71.99,32.93,0.0002,0.0007,0.0007,0.015,47,C[C@@H](C(=O)C(=O)O)CC
5,2,97.46,5.49,3.334,3.441,3.48,4.983,-6.977,4.063,-0.394,-2.914,148.29,31.03,0.0001,0.0005,0.0014,0.0001,48,OC(=N)CCC(=O)C(=O)O
3,1,54.37,1.27,3.202,5.044,6.085,6.245,-6.963,4.838,0.296,-2.125,72.65,28.12,0.0001,0.0008,0.006,0.0281,49,CC(C(=O)C(=O)O)C
7,5,135.29,1.82,3.612,4.288,4.445,5.05,-7.23,5.045,-3.285,-2.185,146.46,37.58,0.0003,0.0173,0.0138,0.003,50,OC[C@@H]([C@@H]([C@@H](C(=O)C(=O)O)O)O)O
5,2,91.67,5.43,3.332,3.607,4.693,4.975,-7.178,4.169,-0.495,-3.01,149.81,29.89,0.0003,0.003,0.0009,0.0001,51,OC(=O)CCC(=O)C(=O)O
3,1,54.37,1.15,3.276,5.079,6.266,6.459,-7.053,4.925,0.05,-2.128,73.31,23.31,0.0,0.0,0.0313,0.0044,58,CCC(=O)C(=O)O
4,3,89.34,2.25,5.398,5.469,5.79,6.013,-6.351,6.474,0.536,0.122,159.76,33.34,0.0275,0.0039,0.0244,0.0062,63,C[C@@H](C[C@@H](C(=O)O)N)N
